File: evenDescOddAsc.csv
Sort: Bubble Sort Distance from Sorted

10000000 99800
20000000 99600
30000000 99400
40000000 99200
50000000 98997
60000000 98798
70000000 98596
80000000 98394
90000000 98192
100000000 97989
110000000 97788
120000000 97586
130000000 97384
140000000 97181
150000000 96977
160000000 96774
170000000 96572
180000000 96368
190000000 96164
200000000 95960
210000000 95756
220000000 95552
230000000 95346
240000000 95141
250000000 94935
260000000 94732
270000000 94526
280000000 94319
290000000 94114
300000000 93908
310000000 93701
320000000 93496
330000000 93287
340000000 93082
350000000 92873
360000000 92666
370000000 92457
380000000 92250
390000000 92042
400000000 91834
410000000 91625
420000000 91416
430000000 91208
440000000 90998
450000000 90788
460000000 90578
470000000 90368
480000000 90158
490000000 89948
500000000 89738
510000000 89526
520000000 89315
530000000 89104
540000000 88892
550000000 88680
560000000 88467
570000000 88256
580000000 88043
590000000 87830
600000000 87617
610000000 87404
620000000 87189
630000000 86976
640000000 86762
650000000 86547
660000000 86333
670000000 86120
680000000 85904
690000000 85688
700000000 85474
710000000 85258
720000000 85042
730000000 84824
740000000 84608
750000000 84392
760000000 84174
770000000 83957
780000000 83740
790000000 83522
800000000 83303
810000000 83086
820000000 82866
830000000 82648
840000000 82428
850000000 82210
860000000 81989
870000000 81770
880000000 81550
890000000 81329
900000000 81108
910000000 80888
920000000 80666
930000000 80444
940000000 80222
950000000 80000
960000000 79778
970000000 79556
980000000 79332
990000000 79109
1000000000 78886
1010000000 78662
1020000000 78438
1030000000 78214
1040000000 77990
1050000000 77763
1060000000 77540
1070000000 77314
1080000000 77087
1090000000 76862
1100000000 76636
1110000000 76409
1120000000 76182
1130000000 75956
1140000000 75728
1150000000 75500
1160000000 75272
1170000000 75044
1180000000 74814
1190000000 74585
1200000000 74355
1210000000 74126
1220000000 73898
1230000000 73665
1240000000 73436
1250000000 73205
1260000000 72974
1270000000 72743
1280000000 72512
1290000000 72280
1300000000 72047
1310000000 71814
1320000000 71582
1330000000 71348
1340000000 71114
1350000000 70880
1360000000 70646
1370000000 70412
1380000000 70176
1390000000 69941
1400000000 69706
1410000000 69470
1420000000 69233
1430000000 68998
1440000000 68760
1450000000 68524
1460000000 68285
1470000000 68048
1480000000 67810
1490000000 67571
1500000000 67332
1510000000 67094
1520000000 66854
1530000000 66614
1540000000 66374
1550000000 66132
1560000000 65891
1570000000 65649
1580000000 65408
1590000000 65166
1600000000 64923
1610000000 64682
1620000000 64437
1630000000 64196
1640000000 63952
1650000000 63707
1660000000 63462
1670000000 63218
1680000000 62972
1690000000 62728
1700000000 62482
1710000000 62234
1720000000 61988
1730000000 61740
1740000000 61493
1750000000 61246
1760000000 60998
1770000000 60747
1780000000 60500
1790000000 60249
1800000000 60000
1810000000 59750
1820000000 59500
1830000000 59247
1840000000 58997
1850000000 58745
1860000000 58493
1870000000 58239
1880000000 57988
1890000000 57734
1900000000 57480
1910000000 57225
1920000000 56972
1930000000 56715
1940000000 56462
1950000000 56206
1960000000 55947
1970000000 55692
1980000000 55436
1990000000 55178
2000000000 54920
2010000000 54662
2020000000 54402
2030000000 54141
2040000000 53884
2050000000 53624
2060000000 53361
2070000000 53102
2080000000 52840
2090000000 52577
2100000000 52316
2110000000 52052
2120000000 51790
2130000000 51526
2140000000 51262
2150000000 50996
2160000000 50732
2170000000 50466
2180000000 50200
2190000000 49934
2200000000 49665
2210000000 49398
2220000000 49130
2230000000 48861
2240000000 48593
2250000000 48324
