File: mostly_sorted_numbers.csv
Sort: Bubble Sort Distance from Sorted

10000000 99892
20000000 99792
30000000 99692
40000000 99592
50000000 99491
60000000 99391
70000000 99290
80000000 99189
90000000 99088
100000000 98987
110000000 98886
120000000 98785
130000000 98684
140000000 98583
150000000 98481
160000000 98379
170000000 98278
180000000 98176
190000000 98074
200000000 97971
210000000 97870
220000000 97768
230000000 97665
240000000 97563
250000000 97460
260000000 97358
270000000 97255
280000000 97152
290000000 97049
300000000 96945
310000000 96843
320000000 96740
330000000 96636
340000000 96533
350000000 96429
360000000 96325
370000000 96220
380000000 96117
390000000 96013
400000000 95909
410000000 95805
420000000 95699
430000000 95596
440000000 95491
450000000 95386
460000000 95282
470000000 95175
480000000 95071
490000000 94966
500000000 94861
510000000 94754
520000000 94650
530000000 94544
540000000 94438
550000000 94332
560000000 94226
570000000 94120
580000000 94014
590000000 93906
600000000 93801
610000000 93694
620000000 93587
630000000 93480
640000000 93373
650000000 93266
660000000 93159
670000000 93052
680000000 92944
690000000 92836
700000000 92728
710000000 92621
720000000 92513
730000000 92405
740000000 92296
750000000 92188
760000000 92079
770000000 91971
780000000 91862
790000000 91753
800000000 91644
810000000 91535
820000000 91425
830000000 91316
840000000 91206
850000000 91097
860000000 90987
870000000 90877
880000000 90767
890000000 90657
900000000 90546
910000000 90435
920000000 90325
930000000 90214
940000000 90103
950000000 89992
960000000 89881
970000000 89770
980000000 89658
990000000 89547
1000000000 89435
1010000000 89323
1020000000 89211
1030000000 89099
1040000000 88987
1050000000 88874
1060000000 88762
1070000000 88649
1080000000 88536
1090000000 88423
1100000000 88310
1110000000 88197
1120000000 88082
1130000000 87970
1140000000 87856
1150000000 87742
1160000000 87628
1170000000 87514
1180000000 87400
1190000000 87285
1200000000 87170
1210000000 87056
1220000000 86941
1230000000 86826
1240000000 86710
1250000000 86595
1260000000 86479
1270000000 86364
1280000000 86248
1290000000 86132
1300000000 86016
1310000000 85899
1320000000 85783
1330000000 85665
1340000000 85549
1350000000 85432
1360000000 85315
1370000000 85198
1380000000 85081
1390000000 84963
1400000000 84845
1410000000 84726
1420000000 84609
1430000000 84491
1440000000 84372
1450000000 84254
1460000000 84135
1470000000 84015
1480000000 83897
1490000000 83778
1500000000 83658
1510000000 83538
1520000000 83419
1530000000 83299
1540000000 83178
1550000000 83059
1560000000 82938
1570000000 82818
1580000000 82697
1590000000 82576
1600000000 82455
1610000000 82333
1620000000 82212
1630000000 82090
1640000000 81968
1650000000 81846
1660000000 81724
1670000000 81601
1680000000 81479
1690000000 81356
1700000000 81233
1710000000 81110
1720000000 80986
1730000000 80863
1740000000 80739
1750000000 80615
1760000000 80491
1770000000 80367
1780000000 80242
1790000000 80117
1800000000 79992
1810000000 79867
1820000000 79742
1830000000 79615
1840000000 79491
1850000000 79365
1860000000 79239
1870000000 79113
1880000000 78986
1890000000 78859
1900000000 78732
1910000000 78604
1920000000 78478
1930000000 78351
1940000000 78223
1950000000 78094
1960000000 77966
1970000000 77838
1980000000 77710
1990000000 77581
2000000000 77452
2010000000 77323
2020000000 77193
2030000000 77064
2040000000 76934
2050000000 76804
2060000000 76674
2070000000 76543
2080000000 76412
2090000000 76281
2100000000 76150
2110000000 76019
2120000000 75887
2130000000 75755
2140000000 75622
2150000000 75491
2160000000 75358
2170000000 75225
2180000000 75092
2190000000 74959
2200000000 74825
2210000000 74692
2220000000 74557
2230000000 74424
2240000000 74289
2250000000 74153
