File: mostly_sorted_numbers.csv
Sort: Insertion Sort Distance from Sorted

10000000 23275
20000000 29136
30000000 33740
40000000 37622
50000000 41095
60000000 44379
70000000 47482
80000000 50340
90000000 52995
100000000 55497
110000000 57841
120000000 60193
130000000 62485
140000000 64618
150000000 66761
160000000 68730
170000000 70966
180000000 73203
190000000 75236
200000000 77277
210000000 78958
220000000 80681
230000000 82601
240000000 84599
250000000 86224
260000000 88213
270000000 89984
280000000 91831
290000000 93795
300000000 95281
310000000 95884
320000000 97335
322625358 0
