File: mostly_sorted_numbers.csv
Sort: Selection Sort Distance from Sorted

10000000 9980
20000000 9960
30000000 9944
40000000 9928
50000000 9902
60000000 9882
70000000 9868
80000000 9848
90000000 9832
100000000 9818
110000000 9804
120000000 9780
130000000 9760
140000000 9740
150000000 9718
160000000 9692
170000000 9678
180000000 9646
190000000 9614
200000000 9588
210000000 9580
220000000 9574
230000000 9564
240000000 9552
250000000 9538
260000000 9524
270000000 9504
280000000 9472
290000000 9436
300000000 9412
310000000 9396
320000000 9372
330000000 9342
340000000 9320
350000000 9302
360000000 9278
370000000 9246
380000000 9228
390000000 9208
400000000 9196
410000000 9170
420000000 9148
430000000 9130
440000000 9122
450000000 9092
460000000 9064
470000000 9050
480000000 9036
490000000 9024
500000000 9004
510000000 8982
520000000 8960
530000000 8930
540000000 8904
550000000 8880
560000000 8860
570000000 8836
580000000 8812
590000000 8798
600000000 8778
610000000 8758
620000000 8746
630000000 8720
640000000 8696
650000000 8678
660000000 8658
670000000 8634
680000000 8624
690000000 8594
700000000 8580
710000000 8558
720000000 8540
730000000 8518
740000000 8496
750000000 8476
760000000 8462
770000000 8442
780000000 8422
790000000 8396
800000000 8382
810000000 8358
820000000 8336
830000000 8318
840000000 8312
850000000 8292
860000000 8276
870000000 8252
880000000 8228
890000000 8200
900000000 8176
910000000 8146
920000000 8118
930000000 8104
940000000 8074
950000000 8050
960000000 8028
970000000 8002
980000000 7986
990000000 7960
1000000000 7940
1010000000 7928
1020000000 7904
1030000000 7886
1040000000 7868
1050000000 7848
1060000000 7824
1070000000 7800
1080000000 7786
1090000000 7770
1100000000 7746
1110000000 7726
1120000000 7714
1130000000 7696
1140000000 7678
1150000000 7660
1160000000 7650
1170000000 7642
1180000000 7618
1190000000 7602
1200000000 7584
1210000000 7566
1220000000 7538
1230000000 7518
1240000000 7498
1250000000 7482
1260000000 7464
1270000000 7448
1280000000 7418
1290000000 7394
1300000000 7382
1310000000 7350
1320000000 7330
1330000000 7306
1340000000 7280
1350000000 7258
1360000000 7248
1370000000 7230
1380000000 7210
1390000000 7186
1400000000 7182
1410000000 7164
1420000000 7152
1430000000 7128
1440000000 7110
1450000000 7096
1460000000 7072
1470000000 7058
1480000000 7046
1490000000 7018
1500000000 6994
1510000000 6964
1520000000 6956
1530000000 6934
1540000000 6928
1550000000 6916
1560000000 6898
1570000000 6878
1580000000 6856
1590000000 6830
1600000000 6816
1610000000 6794
1620000000 6768
1630000000 6754
1640000000 6736
1650000000 6716
1660000000 6700
1670000000 6680
1680000000 6664
1690000000 6640
1700000000 6624
1710000000 6590
1720000000 6572
1730000000 6560
1740000000 6538
1750000000 6520
1760000000 6504
1770000000 6482
1780000000 6462
1790000000 6440
1800000000 6416
1810000000 6380
1820000000 6360
1830000000 6348
1840000000 6334
1850000000 6328
1860000000 6316
1870000000 6292
1880000000 6272
1890000000 6256
1900000000 6240
1910000000 6220
1920000000 6198
1930000000 6180
1940000000 6166
1950000000 6150
1960000000 6130
1970000000 6112
1980000000 6092
1990000000 6076
2000000000 6052
2010000000 6040
2020000000 6018
2030000000 5996
2040000000 5978
2050000000 5966
2060000000 5942
2070000000 5930
2080000000 5922
2090000000 5908
2100000000 5894
2110000000 5864
2120000000 5854
2130000000 5836
2140000000 5808
2150000000 5790
2160000000 5776
2170000000 5758
2180000000 5724
2190000000 5708
2200000000 5692
2210000000 5672
2220000000 5658
2230000000 5640
2240000000 5618
2250000000 5608
2260000000 5590
2270000000 5560
2280000000 5546
2290000000 5520
2300000000 5494
2310000000 5458
2320000000 5438
2330000000 5418
2340000000 5398
2350000000 5378
2360000000 5348
2370000000 5316
2380000000 5302
2390000000 5292
2400000000 5278
2410000000 5252
2420000000 5242
2430000000 5224
2440000000 5200
2450000000 5174
2460000000 5154
2470000000 5136
2480000000 5118
2490000000 5092
2500000000 5076
2510000000 5060
2520000000 5038
2530000000 5024
2540000000 5014
2550000000 5002
2560000000 4990
2570000000 4978
2580000000 4960
2590000000 4932
2600000000 4922
2610000000 4910
2620000000 4892
2630000000 4866
2640000000 4860
2650000000 4842
2660000000 4820
2670000000 4800
2680000000 4778
2690000000 4762
2700000000 4732
2710000000 4690
2720000000 4666
2730000000 4638
2740000000 4620
2750000000 4600
2760000000 4592
2770000000 4578
2780000000 4560
2790000000 4536
2800000000 4500
2810000000 4482
2820000000 4464
2830000000 4446
2840000000 4428
2850000000 4412
2860000000 4390
2870000000 4372
2880000000 4350
2890000000 4320
2900000000 4310
2910000000 4292
2920000000 4280
2930000000 4260
2940000000 4244
2950000000 4230
2960000000 4216
2970000000 4192
2980000000 4166
2990000000 4158
3000000000 4138
3010000000 4128
3020000000 4110
3030000000 4090
3040000000 4064
3050000000 4038
3060000000 4018
3070000000 3982
3080000000 3962
3090000000 3928
3100000000 3908
3110000000 3884
3120000000 3848
3130000000 3820
3140000000 3804
3150000000 3788
3160000000 3768
3170000000 3742
3180000000 3724
3190000000 3712
3200000000 3680
3210000000 3656
3220000000 3640
3230000000 3618
3240000000 3602
3250000000 3588
3260000000 3560
3270000000 3544
3280000000 3522
3290000000 3496
3300000000 3468
3310000000 3446
3320000000 3430
3330000000 3408
3340000000 3382
3350000000 3358
3360000000 3342
3370000000 3324
3380000000 3296
3390000000 3282
3400000000 3258
3410000000 3236
3420000000 3220
3430000000 3192
