File: shuffled_numbers.csv
Sort: Bubble Sort Distance from Sorted

10000000 99900
20000000 99799
30000000 99697
40000000 99599
50000000 99497
60000000 99399
70000000 99297
80000000 99196
90000000 99096
100000000 98991
110000000 98894
120000000 98793
130000000 98692
140000000 98591
150000000 98488
160000000 98387
170000000 98284
180000000 98182
190000000 98082
200000000 97977
210000000 97876
220000000 97775
230000000 97672
240000000 97569
250000000 97467
260000000 97366
270000000 97260
280000000 97160
290000000 97057
300000000 96953
310000000 96850
320000000 96746
330000000 96643
340000000 96540
350000000 96437
360000000 96333
370000000 96228
380000000 96125
390000000 96020
400000000 95916
410000000 95813
420000000 95705
430000000 95603
440000000 95498
450000000 95393
460000000 95290
470000000 95184
480000000 95079
490000000 94973
500000000 94869
510000000 94763
520000000 94657
530000000 94551
540000000 94445
550000000 94339
560000000 94234
570000000 94127
580000000 94022
590000000 93915
600000000 93809
610000000 93702
620000000 93595
630000000 93488
640000000 93381
650000000 93274
660000000 93167
670000000 93059
680000000 92951
690000000 92841
700000000 92736
710000000 92629
720000000 92521
730000000 92410
740000000 92304
750000000 92196
760000000 92087
770000000 91975
780000000 91870
790000000 91760
800000000 91651
810000000 91541
820000000 91432
830000000 91324
840000000 91214
850000000 91104
860000000 90995
870000000 90883
880000000 90774
890000000 90663
900000000 90554
910000000 90443
920000000 90333
930000000 90221
940000000 90110
950000000 89999
960000000 89888
970000000 89777
980000000 89666
990000000 89555
1000000000 89442
1010000000 89329
1020000000 89217
1030000000 89106
1040000000 88994
1050000000 88882
1060000000 88770
1070000000 88657
1080000000 88543
1090000000 88431
1100000000 88317
1110000000 88203
1120000000 88091
1130000000 87975
1140000000 87863
1150000000 87750
1160000000 87634
1170000000 87522
1180000000 87407
1190000000 87290
1200000000 87176
1210000000 87063
1220000000 86947
1230000000 86833
1240000000 86717
1250000000 86603
1260000000 86486
1270000000 86371
1280000000 86255
1290000000 86139
1300000000 86023
1310000000 85905
1320000000 85790
1330000000 85669
1340000000 85554
1350000000 85439
1360000000 85321
1370000000 85206
1380000000 85089
1390000000 84969
1400000000 84852
1410000000 84735
1420000000 84617
1430000000 84499
1440000000 84378
1450000000 84262
1460000000 84143
1470000000 84024
1480000000 83905
1490000000 83784
1500000000 83666
1510000000 83547
1520000000 83425
1530000000 83306
1540000000 83186
1550000000 83066
1560000000 82943
1570000000 82825
1580000000 82705
1590000000 82583
1600000000 82462
1610000000 82341
1620000000 82220
1630000000 82096
1640000000 81975
1650000000 81852
1660000000 81731
1670000000 81607
1680000000 81486
1690000000 81362
1700000000 81240
1710000000 81117
1720000000 80993
1730000000 80871
1740000000 80747
1750000000 80622
1760000000 80499
1770000000 80374
1780000000 80250
1790000000 80125
1800000000 80000
1810000000 79874
1820000000 79748
1830000000 79624
1840000000 79498
1850000000 79372
1860000000 79247
1870000000 79118
1880000000 78992
1890000000 78866
1900000000 78737
1910000000 78612
1920000000 78484
1930000000 78359
1940000000 78231
1950000000 78103
1960000000 77975
1970000000 77845
1980000000 77718
1990000000 77589
2000000000 77460
2010000000 77330
2020000000 77200
2030000000 77071
2040000000 76942
2050000000 76812
2060000000 76680
2070000000 76550
2080000000 76417
2090000000 76288
2100000000 76157
2110000000 76027
2120000000 75892
2130000000 75763
2140000000 75631
2150000000 75499
2160000000 75365
2170000000 75229
2180000000 75098
2190000000 74966
2200000000 74832
2210000000 74700
2220000000 74565
2230000000 74432
2240000000 74295
2250000000 74162
